Event Link,Date & Time,Event Name,Location,Event Description,Attendees,Hosted By,Category
https://www.meetup.com/millennialprofessionalstoronto/events/304748188/?recId=d4f48b2d-f8a1-4476-925b-bc46dc95073f&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-07T19:00:00-05:00,馃帀 Mai's (meetup host/organizer) Birthday Bash at Midnight Arcade!!! 馃帀,"158 Augusta Ave 路 Toronto, ON","Hey everyone! 馃巶
This month,we鈥檙e celebrating the meetup organizer/host, Mai's birthday,and you鈥檙e invited to join the party!!! Wooohooo!!
Come out and enjoy a night of classic arcade games, drinks, and fun atMidnight Arcadein Kensington Market. Let鈥檚 make it a night to remember!
In addition to celebrating another year of awesomeness, we鈥檒l also be raising funds to support this Meetup group.The meetup organizer subscription costs over CAD $350/year, and to help cover this expense, we kindly ask for aminimum donation of $10 (or more!). Your support is greatly appreciated and helps keep our group running strong into the new year!!
What to Expect:
Midnight Arcadeis the perfect place to let loose and have some fun, with a variety of classic and modern games to enjoy. Whether you're a retro gaming pro or just here for the drinks and laughs, there's something for everyone.
Important Info:
Let鈥檚 make this birthday celebration unforgettable! Looking forward to seeing you there! 馃帀
Looking forward to seeing everyone soon!! Looking forward to catching up with everyone! <3 <3 <3
Mai",16,T,Entertainment
https://www.meetup.com/startup-to/events/304696367/?recId=d4f48b2d-f8a1-4476-925b-bc46dc95073f&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-13T18:00:00-05:00,Marketing Your Small Business: Tailored Strategies for Your Niche,"2nd floor, 65 West Beaver Creek, Richmond Hill 路 Toronto, ON","Every business is unique, and so is its audience. JoinStartup TOfor an engaging workshop on how to create effective marketing strategies tailored to your specific niche. Whether you鈥檙e a small business owner, freelancer, or startup founder, this session will equip you with the tools and insights needed to grow your brand and attract your ideal customers.What You鈥檒l Learn:
Why Attend?
Event Details:馃搮Date:Dec. 13th 2024鈴癟ime:6 - 8 pm馃搷Location:2nd floor, 65 West Beaver Creek, Richmond Hill
Register Now!Don鈥檛 let your business get lost in the crowd. Join us to learn how to market your small business effectively and grow your customer base.About Startup TO:At Startup TO, we鈥檙e passionate about helping Toronto鈥檚 entrepreneurs thrive. From workshops to mentorship, we provide the resources you need to grow your business with confidence.",13,Rahim R. and Maryam M.,Entertainment
https://www.meetup.com/iceskating-25/events/304750381/?recId=d4f48b2d-f8a1-4476-925b-bc46dc95073f&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-13T18:30:00-05:00,Friday Evening Skate at Dufferin Grove,"875 Dufferin Street 路 Toronto, ON","Come on out for an Evening Skate at Dufferin Grove Park Rink!
Closest TTC Station: Dufferin
Bring your own skates!
Post a comment in the group if you have trouble finding the group.
If you can no longer attend, please kindly change your RSVP to Not Going. Thank you.",15,Eliza,Entertainment
https://www.meetup.com/startup-valley-toronto/events/304755978/?recId=d4f48b2d-f8a1-4476-925b-bc46dc95073f&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-23T18:00:00-05:00,Tech & Business Networking Toronto,"1915 Yonge street 路 Toronto , ON","Attention attendees!To register via Luma, usethis linkTo register via Eventbrite, usethis link
Warning:The meetup is not a platform for RSVP registration; for this, you need to followthis linkto purchase a registration ticket.The meetup is one of the platforms through which we offer participation in our events.
Hi there!
鈥嬸煔� Dear Participants! Join our event in Toronto!Meet and network with Tech & Business Proffesionals and Professionals and Industry-Leading Investors. Pitch to the audience with your project and seize your chance to dive into the world of business, technology, and venture capital.
鈥嬧�嬸煉� Why You Can't-Miss It:鈥婨ngage with leading experts and founders in the Tech & Business, and top investors to gain deep insights and valuable networking.鈥婽his event is a must-attend for those looking to gain ideas, experience, and valuable connections.
鈥嬸煋� Present Your Startup in the Tech & Business:鈥婼howcase your startup in the Tech & Business! Email your pitch deck tocontact.us@startupvalley.cluband seize the opportunity to impress both the audience and investors!Also, you need to fill out theapplication to participate as a pitcher/speaker at the event
鈥嬸煉� We Welcome New Investors:We invite investors to our event to expand their network, get acquainted with new startups, evaluate them, provide their feedback, participate in discussions, and gain access to a database of new and promising startups from around the world.
If you're interested in attending our event as an investor, please register throughthis link
If you'd like access to a database of promising startup projects and additional benefits from Startup Valley, please fill out this application, and our team will contact you:this link
鈥嬸煄tartup Presentations in the Tech & Business and Expert Evaluations:鈥婼tartups from various industries, prepare for your moment of glory with a 5-minute presentation scheduled for 07:30 PM, followed by invaluable feedback from our panel of venture capitalists and angel investors.鈥嬧�婽he startup that is deemed ""Most Investment-Worthy"" will receive special recognition on our social media channels and will be featured in a newsletter for our investor base for consideration. 馃弳
鈥媁ho will you meet at the event:
鈥婻equirements to attendants:
鈥嬸煠漈he venue where we host our events is our partner. To continue hosting events at this location, please consider purchasing 1-2 drinks at the bar. Thank you.
Time:鈥婨vent time:6:00 -9:00 PM鈥婸itch time:7:30 - 8:30 PM
鈥嬸煄烰oin our event, and secure your ticket today!鉁�
鈥婼incerely,鈥婼tartup Valley Team",10,Nikita D.,Entertainment
https://www.meetup.com/torontobabel/events/303615844/?recId=ba765e1a-1b41-4904-a7f6-fba172135549&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-11T19:00:00-05:00,TorontoBabel Language & Cultural Exchange Night - MADISON PUB,"14 Madison Ave 路 Toronto, ON","The location for this language exchange event is MADISON PUB (near Spadina Station).
***MAKE AT LEAST ONE PURCHASE AT THE BAR. PLEASE REMEMBER THAT WHILE WE'RE GRATEFUL FOR THE COMPLIMENTARY SPACE, IT'S IMPORTANT THAT WE SUPPORT THE VENUE BY MAKING PURCHASES RATHER THAN SOLELY RELYING ON COMPLIMENTARY WATER. LET'S KEEP THE GOOD VIBES GOING AND SHOW OUR GRATITUDE TO OUR HOSTS. IT ENSURES WE CAN CONTINUE TO ENJOY THIS SPACE FOR FUTURE MEETUPS!***
***We have introduced aPWYC (Pay What You Can)feature, with a suggested donation of $2. If TorontoBabel has improved a language you are learning, allowed you to make a new friend, provided you with a sense of belonging in the community, please give back. There are no small contributions, and every donation is appreciated. We have also brought back nametags where you can write your name, the languages you speak, and are looking to learn or improve.
Cash will be accepted via one of the Babel hosts or volunteers at the entrance (not the bar). ***
*** The TorontoBabel events will take place 2/3 times a month! Check for updates on our meetup page! ***
OVERVIEW
Toronto is one of the most multicultural cities in the world. Take advantage of it with TorontoBabel! Many groups focus on one language, but this group provides an opportunity to practice many languages. At a regular TorontoBabel gathering we have native speakers of French, Spanish, English, Portuguese, Korean, Japanese, German, Polish, Italian, Cantonese, Turkish, Mandarin, Russian, Hindi, Arabic, Farsi and many other languages. Don't be shy! Learners of all levels, from beginner to native fluency are welcome!
HOW IT WORKS
TorontoBabel is a language exchange group. You can help people learn your native language and other members help you learn their native language. We usually have groups of people practicing French, Spanish, Korean, etc. and will show you where they are. If you are comfortable finding native speakers of your favourite language yourself, that's fine too!
If it's your first time attending a TorontoBabel event, please introduce yourself to our amazingEvent Organizers FARINAZ and TERRY. They will direct you to native speakers of the language you are interested in. They can also introduce you to people who want to learn your language.
QUESTIONS?
If you have any comments, questions, problems, concerns or ideas, just talk to the organizer about it. We will do our best to make sure you have a positive experience! Everyone is welcome!
Remember, this group is a hobby for us; we run it just for fun, we love it and we hope you will love it too!
Check out the calendar ( https://www.meetup.com/TorontoBabel/#calendar ) to see what other events we have coming up and to RSVP.
CONTACT: Terryhttps://www.meetup.com/TorontoBabel
Facebookhttps://www.facebook.com/groups/torontobabel
WhatsApphttps://chat.whatsapp.com/EYMdUw8XaxE5irFSNg5bt7
Instagramhttps://www.instagram.com/t.o.babel/",26,Terry G. and 2 others,Entertainment
https://www.meetup.com/north-york-55-womens-group/events/304701387/?recId=ba765e1a-1b41-4904-a7f6-fba172135549&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-08T11:00:00-05:00,Let's Do Brunch at Pickle Barrel - Yorkdale,"Dufferin St 路 Toronto, ON","Welcome to The Fabulous Over 50 Womens' Club!
As I have recently taken over this amazing group, I thought it would great to organize a brunch and celebrate the Festive Season together. As it's a busy time of year, I chose Yorkdale so those wanting to do Christmas shopping could do so afterwards.
Pickle Barrel is a favourite for many and offers a comfortable, fun atmosphere with fantastic food and great value!
click link below:https://www.picklebarrel.ca
There is a non-refundable/non-transferable $5.00 cover fee to attend this event. This charge will reserve your spot, help with group costs and hopefully minimize no shows.
Payment of the $5.00 cover is due by Sunday December 1st . After this date, non-payment of the cover fee will result in the Member's name being moved to the ""not going"" list so that those ""waitlisted"" have an opportunity to attend the event.
In consideration of others, if you are not able to attend, please advise 48 hours prior to the event to allow other people on the waitlist to have your spot, No shows and less than 48 hours notice of non-attendance will be noted. Two (2) or more such occurrences will unfortunately lead to removal from the group. Thank you for understanding.
Looking forward to meeting you soon!
Here are the details for the $5.00transfer email: fabulousover50@hotmail.com",15,Mirella,Entertainment
https://www.meetup.com/toronto-movies-and-social-group/events/304129065/?recId=ba765e1a-1b41-4904-a7f6-fba172135549&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-15T12:45:00-05:00,Holiday Brunch  @ HOTHOUSE - BEST BRUNCH BUFFET IN TORONTO!,"35 Church St 路 Toronto, ON","Holiday Brunch @ HOTHOUSE:Every time I host this event, it sells out. The reason for this is because it is theBESTbuffet or theBESTbrunch in Toronto and I would say in the GTA. I get asked all the time where to eat and I will always say Hot House. There food is fresh, they have a good selection but most of all they have the VERY BEST desserts at ANY BUFFET in the City or GTA. If you love cake this is your buffet!
Cost of the Buffet:$45 plus tip and tax (please note that they are ONLY offering the brunch buffet)
Meetup time:12:45am. I will only wait 5mins
Menu (please click the Sunday Brunch Menu):https://www.hothouserestaurant.com/menu/
PLEASE DON'T CALL THE RESTURENT AS THEY WILL NOT KNOW ANYTHING ABOUT THIS EVENT. PLEASE MESSAGE MATHEW FOR ALL QUSTIONS.
Save your spot fee:$25 - E -transfer must be sent to mathewmaclean@hotmail.com within 24hrs of signing up or will be moved to no. We only have room for 20 people. Once you show up to the event you will receive $20 back ($5 to help support the group). There areNO REFUNDS or Exchanges.This is to ensure that those sign up are 100% sure they will becoming. I will be making reservations.
How to find me:I will be wearing my MOOSE hat outside by the front of the door. PLEASE DON'T GO IN WITHOUT ME!
Rules:Click Here!
Getting The Best Out Of Meet:Click Here!
THIS GROUP IS OPEN TO THOSE THAT WANT TO BE SOCIAL, MAKE FRIENDS, THAT ARE SINGLE OR NOT SINGLE. WE ALSO HAVE LOTS OFOTHER EVENTS LIKE, MOVIES, WALKS, HIKES, ARTS & CULTURE AND RESTAURANTS.
Leaving time- Any time you like.
NOTE:Sometimes things happen and I might have to cancel so please keep a look out for that!
Don't Forget to join our email list(Meetup does not send out emails to everyone in a group) to get our weekly news later about upcoming events:http://eepurl.com/hKt76f
Mathew is the organizer for this meetup. If you need to contact him, please post a message on the wall, or email him attorontomoviesandoutings@hotmail.com",15,Mathew,Entertainment
https://www.meetup.com/browserstack-qa-and-software-testing-meetup-group-toronto/events/303866211/?recId=ba765e1a-1b41-4904-a7f6-fba172135549&recSource=ml-popular-events-nearby-online&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-12T17:30:00-05:00,BrowserStack QA Meetup - December,Online,"Join us for our QA meetup of the BrowserStack Meetup group in Toronto.
Agenda:-
5:30 - 6:00 - Open Doors with Pizza and Networking6:00 - 6:15 -Introductions and Ice Breaker6:15 - 7:00 -Demonstration, Experiment, and TestingbyMichael Bolton7:0 - 7:30 - QnA
Venue: Online
Date & Time- December 12th, 5:30 PM EDT
Also meanwhile why not sign up as a champion?
We have a thriving community of 1200+ QA Professionals as our community members throughout the world you should consider joining our champions community.
It's the easiest way to stay in the loop about our upcoming meetups worldwide. Plus, you'll get to know and network with other QA enthusiasts in and around Toronto.
To become a champion click on this link :
https://www.browserstack.com/browserstack-championsTake advantage of this exceptional opportunity to network with industry experts, exchange ideas, and explore cutting-edge developments in the QA field.
Few notes:
馃敼This will be an In-Person eventMark your calendars and reserve your spot now! We can't wait to see you there!",49,BrowserStack and sandeep,Entertainment
https://www.meetup.com/practical-philosophy-club-ontario/events/304607612/?recId=ba765e1a-1b41-4904-a7f6-fba172135549&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-12T19:00:00-05:00,Practical Philosophy Meetup - Toronto 馃嚚馃嚘,"1184 Queen St W 路 Toronto, ON","馃彌锔� WHAT'S PRACTICAL PHILOSOPHY ABOUT?
Practical Philosophy is a weekly meet-up that brings critical thinkers together for an opportunity to dive deep on a topic, practice communicating, and building a community. All with no 鈥榦fficial鈥� philosophy knowledge required! 馃槑Practical Philosophy is based on the idea that philosophy should be accessible to all, and not something reserved only for academics. Each week we choose a topic, and the goal is to use the conversation to develop our critical thinking and communication as we explore that topic.The goal is to help develop our Critical Thinking, Communication, and Community 馃檶
馃摀 HOW DOES IT WORK?
Each week, we pick one topic and discuss it. The topic for the week is shared, generally in theWhatsapp group, along with jump-off points to get the conversation going.
When groups get bigger than 7-8 people, it鈥檚 important that we break into smaller groups. This way we are able to maintain a conversational flow as opposed to having our meetups feel like a discourse or lecture.
General Meeting Agenda
Each Practical Philosophy meet-up follows this general timeline:
馃ЁPRICING?
Practical Philosophy Club is FREE to attend! We just ask that if we are meeting in a caf茅, buy a beverage! Some chapters rent a space for us to meet, and they may ask for donations to help contribute to the cost of rent. Donations will always be 100% voluntary though!
馃挍 WHAT PEOPLE SAY ABOUT PRACTICAL PHILOSOPHY
馃棧鈥淚 feel like Philosophy Club helps someone build their own belief system through a series of perspectives while not promoting what鈥檚 right and wrong鈥� - Ekam馃棧 鈥淚 got hooked from day 1 (the topic was authority) and felt it was the right place for me. I feel it is a place where people can go to learn and discuss new perspectives and increase critical thinking and community by interacting with people who might challenge your point of views but at the same time encourage you to have openness and mind flexibility.鈥� - Daniel
馃 FAQ
No preparation is necessary. This isn鈥檛 a study of other thinkers. We want to know what you think about the topic, not what an old philosopher thought. If you have a perspective from a religion or a school of thought to share, throw it on the table and we鈥檒l discuss it.
The goal of our meet-ups is to not have dogmatic discussions, and flex our critical thinking muscles. Because of this, we want to hear from every realm of thought, and don't study a particular school.
Surprisingly, no! Although often, philosophy is seen as a Candelabra affair in a dark room with a bunch of guys, our Practical Philosophy meetups are generally 50/50 between genders, and we don鈥檛 meet in any dark rooms.
Of course you can, we encourage it :)
Please don't be! We do have a 15 minute grace period where we allow people to funnel in while we hang out, but after that if you arrive too late, it disrupts the flow of the conversation.
The location is posted in Meetup and ourWhatsappgroup for this location. It is HIGHLY RECOMMENDED that you join the Whatsapp group! If you want to know what other cities have a Practical Philosophy Club, you can see our chapters on ourwebsite.
PRACTICAL PHILOSOPHY CLUB - Philosophy, everywhere. 鉁�
We started in Practical Philosophy back in 2021 and there are now 15+ chapters in over 10 countries, including Canada, Spain, Japan, Mexico and many more! 馃椇锔�
***Follow us onInstagram馃憟Ourwebsite馃憟",12,Jeffrey M.,Entertainment
https://www.meetup.com/torono/events/304450557/?recId=ba765e1a-1b41-4904-a7f6-fba172135549&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-28T20:30:00-05:00,Saturday night networking & marketing,"4750 Yonge St 路 Toronto, ON","Join us as we host our first event. Feel free to bring a +1. The goal of this meetup is to meet new people in different career paths and to sell yourself to potential buyers and expanding clientele. Let's connect photographers to models, real estate agents to first time home buyers, financial advisors to investors, lawyers to people requiring legal advice, etc.
Free coffee/tea for attendees. Looking forward to seeing you all there.",12,Ric,Entertainment
https://www.meetup.com/large-scale-scrum-less-in-nyc/events/304636615/?recId=ba765e1a-1b41-4904-a7f6-fba172135549&recSource=ml-popular-events-nearby-online&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-13T12:00:00-05:00,"Managing AI: Turning Data, Drama, Deadlines into Deliverables, w/ Bob Schatz",Online,"Zoom will be shared with RSVPed people only. Please Register.
Summary:
1. Introduction & Objectives (5 minutes)鈥� Welcome and introduction (your background, expertise in agile and AI projects).鈥� Overview of webinar objectives:鈥� Understand the unique challenges of AI projects.鈥� Explore best practices for managing AI solution development.鈥� Discuss actionable strategies for project managers.2. Key Challenges in AI Project Management (10 minutes)鈥� Overview of AI project dynamics: iterative learning, data dependencies, and experimentation.鈥� Comparison to traditional software projects:鈥� Predictability vs. uncertainty in deliverables.鈥� Importance of data readiness and quality.鈥� Common pitfalls (e.g., scope creep, overpromising results, ethical concerns).3. Adapting Project Management Practices for AI (15 minutes)鈥� Defining success: Aligning business outcomes with AI capabilities.鈥� Flexible planning: Incorporating iterative learning cycles (e.g., Agile Sprints, Lean approaches).鈥� Cross-functional collaboration: Bridging gaps between data scientists, engineers, and business stakeholders.鈥� Risk management: Addressing AI-specific risks like bias, model accuracy, and scalability.鈥� Ethical considerations: Building trust through responsible AI development.4. Case Study or Real-World Example (10 minutes)鈥� Share an AI project story:鈥� Highlight challenges and resolutions.鈥� Key takeaways for managing similar projects.5. Actionable Takeaways for Project Managers (10 minutes)鈥� Checklist of best practices:鈥� Early stakeholder alignment.鈥� Establishing data pipelines and metrics.鈥� Building a culture of continuous learning.鈥� Using Agile techniques to manage uncertainty.鈥� Recommendations for tools and frameworks.6. Q&A and Closing (10 minutes)鈥� Open the floor for audience questions.鈥� Recap key points.鈥� Share additional resources (e.g., guides, articles, or your consultancy offerings).鈥� Invitation to connect (LinkedIn, website, etc.).
Speaker's Bio:With over 40 years of experience in software, systems, and organizational development, I am committed to helping companies achieve sustainable growth through agile transformation and AI strategy development. As the founder of Agile Infusion LLC, I work closely with clients to create trusted partnerships, providing advisory, consulting, and training services that empower organizations to embrace agile methodologies like Scrum, Kanban, and XP, as well as to develop innovative, trustworthy AI solutions.
My career journey began in leadership roles managing large-scale, mission-critical projects. At Primavera Systems, Inc., I served as VP of Development and spearheaded a highly successful agile transformation for teams developing enterprise project and portfolio management software. I have also held key management positions at Liquent, Inc. and GE Aerospace/Lockheed Martin, where I managed software initiatives for the pharmaceutical industry and high-stakes government contracts, respectively.
I hold advanced degrees in Organizational Dynamics and Strategic Leadership, and I鈥檓 certified in multiple agile and AI disciplines, including Certified Scrum Trainer (CST), Cognitive Project Management for AI (CPMAI), AI Management Professional (AIMP). Today, I lead Agile Infusion in providing organizations with frameworks to enhance product development, AI Product Management, and strategies for responsible AI implementation. I鈥檓 passionate about sharing knowledge and regularly speak at industry events, addressing both the challenges and transformative potential of agile and AI.
Specialties: Business Consulting, Agile Development, Artificial Intelligence Strategy, Certified Scrum Trainer (CST), Cognitive Project Manager for AI (CPMAI), AI Management Professional (AIMP), Certified Scrum Professional (CSP), Certified Scrum Master/Product Owner (CSM/CSPO), AI Ethics Training, Trustworthy/Responsible AI, Certified Lean Management, Process Improvement Techniques, Visioning and Goal Setting, Leadership Training/Coaching, Team Coaching and Conflict Resolution, Organizational Dynamics, Organizational Culture Change, Agile Project Management, Agile Portfolio Management, Agile Work Environments, Agile Team/Project Rescues",97,Gene G.,Entertainment
https://www.meetup.com/toronto-bruce-trail-club/events/304267955/?recId=ba765e1a-1b41-4904-a7f6-fba172135549&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-26T09:30:00-05:00,Urban Walk: Annual TBTC Boxing Day Hike,"Jack Layton Ferry Terminal 路 toronto, ON","Avoid the Boxing Day shopping crowds and come hike with TBTC 鈥榮 Hiking Director and club President instead. The Toronto Islands are very peaceful in the Winter Season. We will catch the 2:15 or 2:45 pm ferry to be back in the city by 3:00 pm. Bring a lunch, snacks, water, a hot beverage, and icers if the first snow has fallen. Dress in warm layers appropriate to the weather. Heated washrooms available. Dropout anytime by walking back to the Ward's Island Ferry Dock. We will hike towards Hanlan's Point and return to Ward's Island (the only ferry destination served in the Winter) - approximately 5-6 km each way.
Please register at the link below:
https://hikes.brucetrail.org/hike-registration/?hid=1640612&hdt=26-12-2024&ht=Urban%2BWalk%253A%2BAnnual%2BTBTC%2BBoxing%2BDay%2BHike&mo=No&htp=Urban+Walk&addInf=No",10,Toronto Bruce Trail C. and Tom,Entertainment
https://www.meetup.com/swank-meetup-for-single-women-and-no-kids-in-toronto/events/304478179/?recId=ba765e1a-1b41-4904-a7f6-fba172135549&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-15T15:00:00-05:00,"SWaNK Holiday Cookie/Treat Exchange! 
馃敂 馃尣 猸愶笍 馃巵","2 Bloor Street East 路 Toronto, ON","鈿狅笍 Please turn Meetup notifications & DMs ON and join @swanktoronto IG group to participate in this event as organizers have had difficulty contacting members, and Meetup is trying to set up paywalls for messaging.
Come with one type of cookie/treat, and go home with many! A holiday treat exchange is the best way to capitalize on collective effort to amp up your holiday baking. Plus it鈥檚 way more fun to eat lots of different types of treats than that single batch you baked!
Note a tip is to freeze your goods if you want to hang onto them until actual Xmas Day
馃崻 Rules:
Last year we had some serious baking talent come out! That said, this isn鈥檛 a Top Chef competition so anything homemade with love is appreciated!",15,Katy,Entertainment
https://www.meetup.com/northtorontoug/events/303839265/?recId=ba765e1a-1b41-4904-a7f6-fba172135549&recSource=ml-popular-events-nearby-online&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-19T19:00:00-05:00,Season of Microsoft AI - Copilots,Online,"JoinNorth Toronto Cloud & DevOps User Groupfor the ""Season of Microsoft AI - Copilots"" event.
Planning is underway. RSVP now to reserve your spot. Spots are limited.
Host and Speaker Bio
Jack Leeis a Microsoft MVP and a Senior Azure Certified Consultant with a passion for software development, cloud, and DevOps innovations. He is an active Microsoft tech community contributor and has presented at various user groups and conferences, including the Global Azure Bootcamp at Microsoft Canada. Jack is an experienced mentor and judge at hackathons and is also the president of theNorth Toronto Cloud & DevOps User Group. He has co-authored many books, including ""Azure for Decision Makers"", ""Azure Integration Guide for Business"", and ""Azure for Architects"". You can follow Jack on Twitter/X at@jlee_consultingand his user group at@NorthTorontoUG.
Jack Leeis a Microsoft MVP and a Senior Azure Certified Consultant with a passion for software development, cloud, and DevOps innovations. He is an active Microsoft tech community contributor and has presented at various user groups and conferences, including the Global Azure Bootcamp at Microsoft Canada. Jack is an experienced mentor and judge at hackathons and is also the president of theNorth Toronto Cloud & DevOps User Group. He has co-authored many books, including ""Azure for Decision Makers"", ""Azure Integration Guide for Business"", and ""Azure for Architects"". You can follow Jack on Twitter/X at@jlee_consultingand his user group at@NorthTorontoUG.",54,NorthTorontoUG.com and Jack,Entertainment
https://www.meetup.com/toronto-new-in-the-city-social/events/304845461/?recId=ba765e1a-1b41-4904-a7f6-fba172135549&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-07T19:00:00-05:00,Fast Friending - Meet ladies & gents FAST! (21-35/Drink Offer/Bring Lady FREE),"2827 Dundas St W 路 Toronto, ON","Picture this- You want to meet new people. You want to widen your social circuit and meet new ladies and gentlemen who could be your friends. You go to social venues where lots of ladies and gents socialise but you are a bit nervous and unsure about starting a conversation with a complete stranger. You may get yourself a drink and then stand in a corner looking at others who are having a great time. You may not know how or don't feel comfortable opening a conversation with ladies or gentlemen you don't know. And then you leave without speaking to the people you would have liked to.
Does this happen to you? Don't be concerned as you are not alone. This is exactly how 90% of all people feel.
Now what if we transform this situation and give you a process where you can meet and connect with a large number of ladies and gentlemen in an organised and orderly manner?
'Fast friending' is our fun and quick way to help you make new connections quickly with both ladies and gentlemen. These are people in the age group of 21 and 35 and so you will be on a similar wavelength.
Here鈥檚 how our Fast Friending works:-- We will meet at 7.00 and have time to get settle down and get a drink.FREE POOL from 8 to 9 pm. Finger food and drinks at a discount for all members under Happy Hours!
- From about 7.30 to 8.30 we will run the fast friending system. Half of the group (mixed gender) will stay in a fixed place and the other half of the group (mixed gender) will be asked to rotate. During these intervals, each pair of people will get the opportunity to talk to each other.
- Rochelle will be hosting the evening and she will organize the fast friending process. She will indicate when you should move to the next person.
- From 8.30 onwards we will stop the system and people will have to chance go chat and interact with those they have met as well as others.If you are a bit shy or anxious then please come early. All attendees are also welcome to bring a lady friend along with them for free.
Click below to book your ticket online today and save money! -Speed Friending with Rochelle 7th December!
Our venue for the evening -Shox's Billiard Bar is spacious, has comfortable seating and not very noisy. We have a reserved area where our members can meet each other in a supportive environment.
- We are not a close knit tight group. Our evenings are warm and comfortable for members attending for the first time and those coming alone. You will not feel alone!
- We have many groups in this city. Members of our other groups who RSVP are included as guests of the organisers in order to give you an indication of expected people.
- This evening is for ladies and gents in the 21 to 35 age group. While some will be at the younger end of this range there will also be others at the other end of the range and lots in-between!
- We are not a dating group. Our events are not organised to manage your dating life. Please do not attend our event if a perfect gender balance is important for your enjoyment of our meet-up.
*You can use any debit or credit card to purchase your ticket at PayPal checkout. It will ask you for your email address but that is only to send you a receipt. You do not need a PayPal account.
(Ladies FREE ticket - Bring an Extra LADY along) This offer is applicable on ALL Tickets.EVENT COST:Early Bird - CAD$ 10 per personRegular Ticket - CAD$ 15 per personGeneral Admission - CAD$ 20 per personCash at meetup - If you have not purchased your ticket in advance then you can pay CAD$ 30 cash when you meet Rochelle at the venue.
Click below to book your ticket online today and save money! -Speed Friending with Rochelle 7th December!
-------Why do we have tickets?
ABOUTfastfriends.co.uk-We have connected members successfully for the past 10 years.
Here are some videos which will give you some guidance -How to make new friends -https://www.youtube.com/watch?v=v6GB0Hc_bSs",15,Susi and 2 others,Entertainment
